Feature,Data_Type,Initial Rows (With Nulls),Non Null Rows,Null Percent,Unique Values,Mean,Median,Mode,Minimum,Maximum,Standard Deviation,Skewness,Kurtosis,25%,75%,99%,IQR,UL_IQR,LL_IQR,Number_Of_Outliers_IQR,UL_Actual,LL_Actual,Number_Of_Outliers_Actual
PassengerId,int64,891,891,0.0,891,446.0,446.0,1.0,1.0,891.0,257.20938292890224,0.0,-1.2,223.5,668.5,882.1,445.0,1336.0,-444.0,0.0,,,
Survived,int64,891,891,0.0,2,0.38,0.0,0.0,0.0,1.0,0.48631931786709987,0.47852343829498967,-1.7750046710663043,0.0,1.0,1.0,1.0,2.5,-1.5,0.0,,,
Pclass,int64,891,891,0.0,3,2.31,3.0,3.0,1.0,3.0,0.8356019334795166,-0.6305479068752844,-1.2800149715782823,2.0,3.0,3.0,1.0,4.5,0.5,0.0,,,
Name,object,891,891,0.0,891,,,,,,,,,,,,,,,,,,
Sex,object,891,891,0.0,2,,,,,,,,,,,,,,,,,,
Age,float64,891,714,19.87,88,29.7,28.0,24.0,0.42,80.0,14.516321150817316,0.3891077823008268,0.17827415364210308,20.125,38.0,65.87,17.875,64.8125,-6.6875,188.0,50.0,18.0,354.0
SibSp,int64,891,891,0.0,7,0.52,0.0,0.0,0.0,8.0,1.1021244350892878,3.6953517271630556,17.88041972664597,0.0,1.0,5.0,1.0,2.5,-1.5,46.0,,,
Parch,int64,891,891,0.0,7,0.38,0.0,0.0,0.0,6.0,0.8056047612452208,2.749117047101093,9.77812517902165,0.0,0.0,4.0,0.0,0.0,0.0,213.0,,,
Ticket,float64,891,661,25.81,514,260318.55,236171.0,1601.0,693.0,3101298.0,471252.394427111,5.265758651973381,29.229141149832373,19996.0,347743.0,3101295.0,327747.0,839363.5,-471624.5,246.0,,,
Fare,float64,891,891,0.0,248,32.2,14.0,8.05,0.0,512.3292,49.6655344447741,4.787316519674893,33.39814088089869,7.9104,31.0,249.00622000000035,23.0896,65.6344,-26.724,116.0,,,
Cabin,object,891,204,77.1,147,,,,,,,,,,,,,,,,,,
Embarked,object,891,889,0.22,3,,,,,,,,,,,,,,,,,,
